       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.012             0.000             0.012             0.000           129.807             0.000             4.243           125.564             0.000             0.000             0.000             0.020             0.000             0.020
           0.012             0.000             0.012             0.000           129.795             0.000             4.231           125.564             0.000             0.000             0.000             0.018             0.000             0.018
           0.027             0.000             0.027             0.000           129.769             0.000             4.204           125.564             0.000             0.000             0.000             0.017             0.000             0.017
           0.020             0.000             0.020             0.000           129.749             0.000             4.185           125.564             0.000             0.000             0.000             0.016             0.000             0.016
           0.005             0.000             0.005             0.000           129.744             0.000             4.180           125.564             0.000             0.000             0.000             0.015             0.000             0.015
           0.037             0.037             0.000             0.000           130.182             0.438             4.180           125.564             0.225             0.081             0.144             0.042             0.018             0.024
           0.149             0.149             0.000             0.000           130.033             0.289             4.180           125.564             0.000             0.000             0.000             0.044             0.022             0.022
           0.149             0.149             0.000             0.000           129.883             0.139             4.180           125.564             0.000             0.000             0.000             0.035             0.015             0.021
           0.112             0.112             0.000             0.000           129.772             0.028             4.180           125.564             0.000             0.000             0.000             0.029             0.010             0.019
           0.031             0.028             0.004             0.000           129.740             0.000             4.176           125.564             0.000             0.000             0.000             0.024             0.006             0.018
           0.005             0.000             0.005             0.000           129.735             0.000             4.171           125.564             0.000             0.000             0.000             0.021             0.004             0.017
           0.013             0.000             0.013             0.000           129.722             0.000             4.158           125.564             0.000             0.000             0.000             0.018             0.003             0.015
           0.010             0.000             0.010             0.000           129.713             0.000             4.148           125.564             0.000             0.000             0.000             0.016             0.002             0.014
           0.010             0.000             0.010             0.000           129.703             0.000             4.138           125.564             0.000             0.000             0.000             0.014             0.001             0.013
           0.011             0.000             0.011             0.000           129.691             0.000             4.127           125.564             0.000             0.000             0.000             0.012             0.000             0.012
           0.008             0.000             0.008             0.000           129.683             0.000             4.119           125.564             0.000             0.000             0.000             0.011             0.000             0.011
           0.008             0.000             0.008             0.000           129.675             0.000             4.111           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           0.019             0.000             0.019             0.000           129.656             0.000             4.092           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           0.010             0.000             0.010             0.000           129.646             0.000             4.082           125.564             0.000             0.000             0.000             0.009             0.000             0.009
           0.010             0.000             0.010             0.000           129.637             0.000             4.072           125.564             0.000             0.000             0.000             0.008             0.000             0.008
           0.011             0.000             0.011             0.000           129.626             0.000             4.061           125.564             0.000             0.000             0.000             0.008             0.000             0.008
           0.016             0.000             0.016             0.000           129.610             0.000             4.045           125.564             0.000             0.000             0.000             0.007             0.000             0.007
           0.011             0.000             0.011             0.000           129.599             0.000             4.034           125.564             0.000             0.000             0.000             0.007             0.000             0.007
           0.013             0.000             0.013             0.000           129.586             0.000             4.022           125.564             0.000             0.000             0.000             0.006             0.000             0.006
           0.013             0.000             0.013             0.000           129.573             0.000             4.009           125.564             0.000             0.000             0.000             0.006             0.000             0.006
           0.009             0.000             0.009             0.000           129.564             0.000             4.000           125.564             0.000             0.000             0.000             0.005             0.000             0.005
           0.013             0.000             0.013             0.000           129.551             0.000             3.987           125.564             0.000             0.000             0.000             0.005             0.000             0.005
           0.011             0.000             0.011             0.000           129.540             0.000             3.976           125.564             0.000             0.000             0.000             0.005             0.000             0.005
           0.012             0.000             0.012             0.000           129.528             0.000             3.964           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.011             0.000             0.011             0.000           129.517             0.000             3.953           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.012             0.000             0.012             0.000           129.505             0.000             3.940           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.011             0.000             0.011             0.000           129.494             0.000             3.930           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.014             0.000             0.014             0.000           129.480             0.000             3.916           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.012             0.000             0.012             0.000           129.468             0.000             3.903           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.014             0.000             0.014             0.000           129.454             0.000             3.890           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.014             0.000             0.014             0.000           129.440             0.000             3.876           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.017             0.000             0.017             0.000           129.423             0.000             3.859           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.014             0.000             0.014             0.000           129.410             0.000             3.846           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.017             0.000             0.017             0.000           129.393             0.000             3.829           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.017             0.000             0.017             0.000           129.377             0.000             3.812           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.027             0.000             0.027             0.000           129.350             0.000             3.786           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.028             0.000             0.028             0.000           129.322             0.000             3.757           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.019             0.000             0.019             0.000           129.303             0.000             3.738           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.025             0.000             0.025             0.000           129.278             0.000             3.713           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.013             0.000             0.013             0.000           129.265             0.000             3.700           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.373             0.373             0.000             0.000           129.415             0.150             3.700           125.564             0.077             0.028             0.049             0.011             0.006             0.005
           0.162             0.150             0.012             0.000           129.253             0.000             3.689           125.564             0.000             0.000             0.000             0.012             0.008             0.004
           0.019             0.000             0.019             0.000           129.234             0.000             3.670           125.564             0.000             0.000             0.000             0.009             0.005             0.004
           0.017             0.000             0.017             0.000           129.217             0.000             3.653           125.564             0.000             0.000             0.000             0.007             0.003             0.004
           0.019             0.000             0.019             0.000           129.198             0.000             3.634           125.564             0.000             0.000             0.000             0.006             0.002             0.004
           0.019             0.000             0.019             0.000           129.180             0.000             3.616           125.564             0.000             0.000             0.000             0.005             0.001             0.003
           0.016             0.000             0.016             0.000           129.164             0.000             3.600           125.564             0.000             0.000             0.000             0.004             0.001             0.003
           0.020             0.000             0.020             0.000           129.144             0.000             3.580           125.564             0.000             0.000             0.000             0.003             0.001             0.003
           0.018             0.000             0.018             0.000           129.126             0.000             3.562           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.021             0.000             0.021             0.000           129.105             0.000             3.541           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.024             0.000             0.024             0.000           129.082             0.000             3.517           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.029             0.000             0.029             0.000           129.053             0.000             3.488           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.019             0.000             0.019             0.000           129.034             0.000             3.469           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.016             0.000             0.016             0.000           129.017             0.000             3.453           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.022             0.000             0.022             0.000           128.996             0.000             3.431           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.022             0.000             0.022             0.000           128.974             0.000             3.410           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.020             0.000             0.020             0.000           128.954             0.000             3.390           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.020             0.000             0.020             0.000           128.934             0.000             3.370           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.021             0.000             0.021             0.000           128.913             0.000             3.349           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.017             0.000             0.017             0.000           128.896             0.000             3.332           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.020             0.000             0.020             0.000           128.876             0.000             3.312           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.022             0.000             0.022             0.000           128.854             0.000             3.290           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.024             0.000             0.024             0.000           128.830             0.000             3.265           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.026             0.000             0.026             0.000           128.804             0.000             3.240           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.023             0.000             0.023             0.000           128.781             0.000             3.217           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.024             0.000             0.024             0.000           128.757             0.000             3.193           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.036             0.000             0.036             0.000           128.721             0.000             3.157           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.032             0.000             0.032             0.000           128.689             0.000             3.125           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.029             0.000             0.029             0.000           128.660             0.000             3.095           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.028             0.000             0.028             0.000           128.632             0.000             3.067           125.564             0.000             0.000             0.000             0.001             0.000             0.001
           0.410             0.410             0.000             0.000           128.757             0.126             3.067           125.564             0.064             0.023             0.041             0.009             0.005             0.003
           0.235             0.226             0.010             0.000           128.622             0.000             3.058           125.564             0.000             0.000             0.000             0.009             0.006             0.003
           0.022             0.000             0.022             0.000           128.601             0.000             3.036           125.564             0.000             0.000             0.000             0.007             0.004             0.003
           0.024             0.000             0.024             0.000           128.577             0.000             3.012           125.564             0.000             0.000             0.000             0.006             0.003             0.003
           0.019             0.000             0.019             0.000           128.558             0.000             2.994           125.564             0.000             0.000             0.000             0.004             0.002             0.003
           0.027             0.000             0.027             0.000           128.531             0.000             2.967           125.564             0.000             0.000             0.000             0.004             0.001             0.002
           0.029             0.000             0.029             0.000           128.502             0.000             2.937           125.564             0.000             0.000             0.000             0.003             0.001             0.002
           0.029             0.000             0.029             0.000           128.473             0.000             2.909           125.564             0.000             0.000             0.000             0.003             0.001             0.002
           0.014             0.000             0.014             0.000           128.459             0.000             2.895           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.033             0.000             0.033             0.000           128.426             0.000             2.862           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.037             0.000             0.037             0.000           128.389             0.000             2.825           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.029             0.000             0.029             0.000           128.361             0.000             2.796           125.564             0.000             0.000             0.000             0.002             0.000             0.002
           0.075             0.075             0.000             0.000           129.306             0.945             2.796           125.564             0.480             0.174             0.307             0.063             0.039             0.024
           0.783             0.783             0.000             0.000           128.722             0.362             2.796           125.564             0.000             0.000             0.000             0.069             0.047             0.022
           0.472             0.462             0.011             0.000           128.350             0.000             2.786           125.564             0.000             0.000             0.000             0.052             0.031             0.020
           0.017             0.000             0.017             0.000           128.333             0.000             2.768           125.564             0.000             0.000             0.000             0.040             0.021             0.019
           0.311             0.300             0.011             0.000           128.322             0.000             2.757           125.564             0.000             0.000             0.000             0.031             0.014             0.018
           0.021             0.000             0.021             0.000           128.301             0.000             2.737           125.564             0.000             0.000             0.000             0.026             0.009             0.016
           0.018             0.000             0.018             0.000           128.283             0.000             2.719           125.564             0.000             0.000             0.000             0.021             0.006             0.015
           0.025             0.000             0.025             0.000           128.259             0.000             2.694           125.564             0.000             0.000             0.000             0.018             0.004             0.014
           0.040             0.000             0.040             0.000           128.218             0.000             2.654           125.564             0.000             0.000             0.000             0.015             0.002             0.013
           0.033             0.000             0.033             0.000           128.185             0.000             2.621           125.564             0.000             0.000             0.000             0.012             0.000             0.012
           0.017             0.000             0.017             0.000           128.168             0.000             2.603           125.564             0.000             0.000             0.000             0.011             0.000             0.011
           0.049             0.000             0.049             0.000           128.119             0.000             2.554           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           0.052             0.000             0.052             0.000           128.067             0.000             2.502           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           0.025             0.000             0.025             0.000           128.042             0.000             2.478           125.564             0.000             0.000             0.000             0.009             0.000             0.009
           0.038             0.000             0.038             0.000           128.004             0.000             2.440           125.564             0.000             0.000             0.000             0.008             0.000             0.008
           0.746             0.746             0.000             0.000           129.764             1.759             2.440           125.564             0.895             0.324             0.571             0.122             0.073             0.049
           1.343             1.343             0.000             0.000           129.934             1.929             2.440           125.564             0.087             0.031             0.056             0.145             0.095             0.050
           0.821             0.821             0.000             0.000           129.113             1.109             2.440           125.564             0.000             0.000             0.000             0.113             0.067             0.046
           1.114             1.109             0.005             0.000           127.999             0.000             2.435           125.564             0.000             0.000             0.000             0.087             0.044             0.043
           0.048             0.000             0.048             0.000           127.951             0.000             2.387           125.564             0.000             0.000             0.000             0.069             0.030             0.040
           0.027             0.000             0.027             0.000           127.924             0.000             2.360           125.564             0.000             0.000             0.000             0.056             0.020             0.037
           0.032             0.000             0.032             0.000           127.893             0.000             2.328           125.564             0.000             0.000             0.000             0.047             0.013             0.034
           0.626             0.600             0.026             0.000           127.867             0.000             2.302           125.564             0.000             0.000             0.000             0.040             0.009             0.032
           0.034             0.000             0.034             0.000           127.833             0.000             2.269           125.564             0.000             0.000             0.000             0.034             0.004             0.029
           1.082             1.082             0.000             0.000           128.443             0.610             2.269           125.564             0.308             0.112             0.196             0.067             0.026             0.041
           0.858             0.858             0.000             0.000           128.935             1.103             2.269           125.564             0.250             0.090             0.159             0.101             0.051             0.050
           1.111             1.103             0.009             0.000           127.824             0.000             2.260           125.564             0.000             0.000             0.000             0.091             0.045             0.046
           0.038             0.000             0.038             0.000           127.786             0.000             2.222           125.564             0.000             0.000             0.000             0.073             0.030             0.043
           0.039             0.000             0.039             0.000           127.747             0.000             2.182           125.564             0.000             0.000             0.000             0.060             0.020             0.040
           0.048             0.000             0.048             0.000           127.699             0.000             2.135           125.564             0.000             0.000             0.000             0.050             0.013             0.037
           0.031             0.000             0.031             0.000           127.668             0.000             2.104           125.564             0.000             0.000             0.000             0.043             0.009             0.034
           0.061             0.000             0.061             0.000           127.608             0.000             2.043           125.564             0.000             0.000             0.000             0.038             0.006             0.032
           0.056             0.000             0.056             0.000           127.552             0.000             1.987           125.564             0.000             0.000             0.000             0.033             0.003             0.029
           0.052             0.000             0.052             0.000           127.499             0.000             1.935           125.564             0.000             0.000             0.000             0.028             0.001             0.027
           0.057             0.000             0.057             0.000           127.442             0.000             1.878           125.564             0.000             0.000             0.000             0.025             0.000             0.025
           0.067             0.000             0.067             0.000           127.375             0.000             1.811           125.564             0.000             0.000             0.000             0.023             0.000             0.023
           0.418             0.400             0.018             0.000           127.357             0.000             1.793           125.564             0.000             0.000             0.000             0.022             0.000             0.022
           0.054             0.000             0.054             0.000           127.303             0.000             1.739           125.564             0.000             0.000             0.000             0.020             0.000             0.020
           0.050             0.000             0.050             0.000           127.253             0.000             1.688           125.564             0.000             0.000             0.000             0.019             0.000             0.019
           0.055             0.000             0.055             0.000           127.198             0.000             1.633           125.564             0.000             0.000             0.000             0.017             0.000             0.017
           0.049             0.000             0.049             0.000           127.148             0.000             1.584           125.564             0.000             0.000             0.000             0.016             0.000             0.016
           0.066             0.000             0.066             0.000           127.082             0.000             1.517           125.564             0.000             0.000             0.000             0.015             0.000             0.015
           0.045             0.000             0.045             0.000           127.037             0.000             1.473           125.564             0.000             0.000             0.000             0.014             0.000             0.014
           0.045             0.000             0.045             0.000           126.992             0.000             1.428           125.564             0.000             0.000             0.000             0.013             0.000             0.013
           0.046             0.000             0.046             0.000           126.946             0.000             1.382           125.564             0.000             0.000             0.000             0.012             0.000             0.012
           0.075             0.000             0.075             0.000           126.872             0.000             1.307           125.564             0.000             0.000             0.000             0.011             0.000             0.011
           0.053             0.000             0.053             0.000           126.819             0.000             1.254           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           1.406             1.400             0.006             0.000           126.813             0.000             1.248           125.564             0.000             0.000             0.000             0.009             0.000             0.009
           0.039             0.000             0.039             0.000           126.773             0.000             1.209           125.564             0.000             0.000             0.000             0.009             0.000             0.009
           1.305             1.305             0.000             0.000           128.434             1.660             1.209           125.564             0.834             0.304             0.530             0.115             0.069             0.047
           2.126             2.126             0.000             0.000           130.072             3.299             1.209           125.564             0.836             0.302             0.534             0.233             0.150             0.082
           0.746             0.746             0.000             0.000           132.279             5.506             1.209           125.564             1.147             0.409             0.738             0.359             0.229             0.130
           1.641             1.641             0.000             0.000           130.738             3.964             1.209           125.564             0.000             0.000             0.000             0.323             0.202             0.121
           0.970             0.970             0.000             0.000           130.168             3.395             1.209           125.564             0.000             0.000             0.000             0.246             0.134             0.112
           0.970             0.970             0.000             0.000           131.177             4.403             1.209           125.564             0.522             0.187             0.335             0.260             0.131             0.128
           0.895             0.895             0.000             0.000           130.381             3.608             1.209           125.564             0.000             0.000             0.000             0.229             0.110             0.119
           1.194             1.194             0.000             0.000           129.588             2.814             1.209           125.564             0.000             0.000             0.000             0.183             0.073             0.110
           1.492             1.492             0.000             0.000           130.452             3.678             1.209           125.564             0.444             0.159             0.285             0.206             0.083             0.123
           1.044             1.044             0.000             0.000           129.607             2.834             1.209           125.564             0.000             0.000             0.000             0.185             0.071             0.114
           2.275             2.275             0.000             0.000           128.332             1.559             1.209           125.564             0.000             0.000             0.000             0.149             0.043             0.106
           1.606             1.559             0.047             0.000           126.726             0.000             1.162           125.564             0.000             0.000             0.000             0.124             0.026             0.098
           0.049             0.000             0.049             0.000           126.677             0.000             1.113           125.564             0.000             0.000             0.000             0.108             0.017             0.091
           0.326             0.300             0.026             0.000           126.651             0.000             1.087           125.564             0.000             0.000             0.000             0.095             0.011             0.084
           0.704             0.700             0.004             0.000           126.647             0.000             1.083           125.564             0.000             0.000             0.000             0.084             0.006             0.078
           0.806             0.800             0.006             0.000           126.641             0.000             1.077           125.564             0.000             0.000             0.000             0.076             0.004             0.072
           0.043             0.000             0.043             0.000           126.598             0.000             1.034           125.564             0.000             0.000             0.000             0.069             0.002             0.067
           0.052             0.000             0.052             0.000           126.546             0.000             0.981           125.564             0.000             0.000             0.000             0.062             0.000             0.062
           0.056             0.000             0.056             0.000           126.490             0.000             0.925           125.564             0.000             0.000             0.000             0.058             0.000             0.058
           0.078             0.000             0.078             0.000           126.411             0.000             0.847           125.564             0.000             0.000             0.000             0.053             0.000             0.053
           0.053             0.000             0.053             0.000           126.358             0.000             0.794           125.564             0.000             0.000             0.000             0.049             0.000             0.049
           0.042             0.000             0.042             0.000           126.316             0.000             0.752           125.564             0.000             0.000             0.000             0.046             0.000             0.046
           0.052             0.000             0.052             0.000           126.264             0.000             0.699           125.564             0.000             0.000             0.000             0.043             0.000             0.043
           0.065             0.000             0.065             0.000           126.198             0.000             0.634           125.564             0.000             0.000             0.000             0.039             0.000             0.039
           1.194             1.194             0.000             0.000           127.670             1.472             0.634           125.564             0.735             0.269             0.466             0.131             0.061             0.071
           1.476             1.472             0.004             0.000           126.194             0.000             0.630           125.564             0.000             0.000             0.000             0.138             0.073             0.065
           0.142             0.100             0.042             0.000           126.152             0.000             0.588           125.564             0.000             0.000             0.000             0.109             0.049             0.061
           2.462             2.462             0.000             0.000           128.443             2.291             0.588           125.564             1.147             0.419             0.728             0.236             0.127             0.109
           1.529             1.529             0.000             0.000           130.475             4.323             0.588           125.564             1.039             0.374             0.664             0.369             0.220             0.150
           0.783             0.783             0.000             0.000           134.352             8.200             0.588           125.564             2.039             0.721             1.318             0.589             0.354             0.235
           2.387             2.387             0.000             0.000           132.265             6.113             0.588           125.564             0.000             0.000             0.000             0.541             0.323             0.218
           2.872             2.872             0.000             0.000           129.393             3.241             0.588           125.564             0.000             0.000             0.000             0.417             0.215             0.202
           3.208             3.208             0.000             0.000           126.185             0.033             0.588           125.564             0.000             0.000             0.000             0.329             0.142             0.187
           2.797             2.797             0.000             0.000           127.787             1.636             0.588           125.564             0.800             0.293             0.507             0.369             0.158             0.211
           1.666             1.636             0.030             0.000           126.122             0.000             0.558           125.564             0.000             0.000             0.000             0.336             0.141             0.195
           0.077             0.000             0.077             0.000           126.045             0.000             0.481           125.564             0.000             0.000             0.000             0.273             0.092             0.181
           0.088             0.000             0.088             0.000           125.958             0.000             0.393           125.564             0.000             0.000             0.000             0.224             0.056             0.168
           0.103             0.000             0.103             0.000           125.855             0.000             0.291           125.564             0.000             0.000             0.000             0.187             0.031             0.156
           0.931             0.900             0.031             0.000           125.824             0.000             0.260           125.564             0.000             0.000             0.000             0.160             0.016             0.144
           0.064             0.000             0.064             0.000           125.760             0.000             0.195           125.564             0.000             0.000             0.000             0.144             0.010             0.134
           0.046             0.000             0.046             0.000           125.714             0.000             0.150           125.564             0.000             0.000             0.000             0.131             0.007             0.124
           0.239             0.200             0.039             0.000           125.675             0.000             0.111           125.564             0.000             0.000             0.000             0.118             0.003             0.115
           0.044             0.000             0.044             0.000           125.631             0.000             0.067           125.564             0.000             0.000             0.000             0.106             0.000             0.106
           0.259             0.200             0.059             0.000           125.572             0.000             0.008           125.564             0.000             0.000             0.000             0.099             0.000             0.099
