       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.522             0.522             0.000             0.000           227.807             7.073            95.170           125.564             0.000             0.000             0.000             0.005             0.000             0.005
           0.709             0.709             0.000             0.000           227.098             6.364            95.170           125.564             0.000             0.000             0.000             0.005             0.000             0.004
           0.634             0.634             0.000             0.000           226.464             5.730            95.170           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.559             0.559             0.000             0.000           225.904             5.170            95.170           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.634             0.634             0.000             0.000           225.270             4.536            95.170           125.564             0.000             0.000             0.000             0.004             0.000             0.004
           0.858             0.858             0.000             0.000           224.412             3.678            95.170           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.671             0.671             0.000             0.000           223.741             3.007            95.170           125.564             0.000             0.000             0.000             0.003             0.000             0.003
           0.448             0.448             0.000             0.000           223.976             3.242            95.170           125.564             0.417             0.080             0.338             0.045             0.018             0.027
           0.485             0.485             0.000             0.000           224.017             3.283            95.170           125.564             0.074             0.014             0.060             0.055             0.025             0.030
           0.634             0.634             0.000             0.000           223.383             2.649            95.170           125.564             0.000             0.000             0.000             0.046             0.018             0.028
           0.597             0.597             0.000             0.000           222.786             2.052            95.170           125.564             0.000             0.000             0.000             0.038             0.012             0.026
           0.485             0.485             0.000             0.000           222.701             1.967            95.170           125.564             0.000             0.000             0.000             0.032             0.008             0.024
           0.895             0.895             0.000             0.000           221.806             1.072            95.170           125.564             0.000             0.000             0.000             0.027             0.005             0.022
           0.970             0.970             0.000             0.000           220.837             0.102            95.170           125.564             0.000             0.000             0.000             0.024             0.004             0.020
           0.821             0.102             0.718             0.000           220.016             0.000            94.452           125.564             0.000             0.000             0.000             0.021             0.002             0.019
           0.999             0.000             0.999             0.000           219.016             0.000            93.452           125.564             0.000             0.000             0.000             0.019             0.001             0.018
           0.806             0.000             0.806             0.000           218.211             0.000            92.646           125.564             0.000             0.000             0.000             0.016             0.000             0.016
           1.343             0.000             1.343             0.000           216.867             0.000            91.303           125.564             0.000             0.000             0.000             0.015             0.000             0.015
           0.859             0.000             0.859             0.000           216.008             0.000            90.444           125.564             0.000             0.000             0.000             0.014             0.000             0.014
           0.851             0.000             0.851             0.000           215.158             0.000            89.593           125.564             0.000             0.000             0.000             0.013             0.000             0.013
           1.018             0.000             1.018             0.000           214.139             0.000            88.575           125.564             0.000             0.000             0.000             0.012             0.000             0.012
           1.354             0.000             1.354             0.000           212.785             0.000            87.221           125.564             0.000             0.000             0.000             0.011             0.000             0.011
           1.470             0.000             1.470             0.000           211.316             0.000            85.751           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           1.244             0.000             1.244             0.000           210.072             0.000            84.508           125.564             0.000             0.000             0.000             0.010             0.000             0.010
           1.194             1.194             0.000             0.000           210.075             0.003            84.508           125.564             0.004             0.001             0.003             0.009             0.000             0.009
           1.325             0.003             1.322             0.000           208.750             0.000            83.185           125.564             0.000             0.000             0.000             0.009             0.000             0.008
           0.782             0.000             0.782             0.000           207.967             0.000            82.403           125.564             0.000             0.000             0.000             0.008             0.000             0.008
           1.227             0.000             1.227             0.000           206.740             0.000            81.176           125.564             0.000             0.000             0.000             0.007             0.000             0.007
           0.746             0.746             0.000             0.000           206.852             0.112            81.176           125.564             0.142             0.031             0.111             0.022             0.007             0.015
           0.336             0.336             0.000             0.000           207.057             0.317            81.176           125.564             0.260             0.057             0.203             0.050             0.021             0.029
           0.507             0.417             0.090             0.000           206.650             0.000            81.086           125.564             0.000             0.000             0.000             0.047             0.021             0.026
           0.410             0.410             0.000             0.000           207.263             0.613            81.086           125.564             0.777             0.169             0.608             0.121             0.052             0.069
           0.522             0.522             0.000             0.000           207.241             0.591            81.086           125.564             0.000             0.000             0.000             0.119             0.055             0.064
           0.833             0.691             0.143             0.000           206.508             0.000            80.943           125.564             0.000             0.000             0.000             0.096             0.037             0.059
           0.857             0.000             0.857             0.000           205.651             0.000            80.087           125.564             0.000             0.000             0.000             0.079             0.024             0.055
           1.268             1.268             0.000             0.000           206.155             0.504            80.087           125.564             0.628             0.138             0.490             0.134             0.047             0.087
           0.597             0.597             0.000             0.000           206.776             1.125            80.087           125.564             0.782             0.171             0.611             0.212             0.087             0.125
           1.044             1.044             0.000             0.000           206.801             1.150            80.087           125.564             0.031             0.007             0.024             0.197             0.079             0.118
           1.281             1.150             0.131             0.000           205.520             0.000            79.956           125.564             0.000             0.000             0.000             0.162             0.053             0.109
           1.034             0.000             1.034             0.000           204.486             0.000            78.922           125.564             0.000             0.000             0.000             0.136             0.035             0.101
           1.175             0.000             1.175             0.000           203.311             0.000            77.746           125.564             0.000             0.000             0.000             0.115             0.022             0.094
           1.188             0.000             1.188             0.000           202.122             0.000            76.558           125.564             0.000             0.000             0.000             0.101             0.015             0.087
           1.350             0.000             1.350             0.000           200.772             0.000            75.208           125.564             0.000             0.000             0.000             0.090             0.010             0.080
           1.238             0.000             1.238             0.000           199.534             0.000            73.970           125.564             0.000             0.000             0.000             0.080             0.006             0.075
           1.334             0.000             1.334             0.000           198.201             0.000            72.636           125.564             0.000             0.000             0.000             0.071             0.002             0.069
           0.996             0.000             0.996             0.000           197.204             0.000            71.640           125.564             0.000             0.000             0.000             0.064             0.000             0.064
           0.913             0.400             0.513             0.000           196.691             0.000            71.127           125.564             0.000             0.000             0.000             0.059             0.000             0.059
           1.589             0.000             1.589             0.000           195.102             0.000            69.538           125.564             0.000             0.000             0.000             0.055             0.000             0.055
           0.927             0.000             0.927             0.000           194.175             0.000            68.611           125.564             0.000             0.000             0.000             0.051             0.000             0.051
           0.941             0.000             0.941             0.000           193.234             0.000            67.670           125.564             0.000             0.000             0.000             0.047             0.000             0.047
           0.849             0.000             0.849             0.000           192.386             0.000            66.821           125.564             0.000             0.000             0.000             0.044             0.000             0.044
           0.783             0.783             0.000             0.000           192.592             0.206            66.821           125.564             0.210             0.051             0.160             0.064             0.011             0.052
           0.626             0.606             0.020             0.000           192.366             0.000            66.802           125.564             0.000             0.000             0.000             0.062             0.014             0.049
           0.471             0.000             0.471             0.000           191.895             0.000            66.330           125.564             0.000             0.000             0.000             0.054             0.009             0.045
           0.936             0.000             0.936             0.000           190.959             0.000            65.395           125.564             0.000             0.000             0.000             0.048             0.006             0.042
           1.492             1.492             0.000             0.000           191.811             0.852            65.395           125.564             0.856             0.208             0.648             0.137             0.051             0.086
           0.149             0.149             0.000             0.000           193.516             2.557            65.395           125.564             1.745             0.421             1.324             0.331             0.154             0.176
           1.641             1.641             0.000             0.000           193.075             2.116            65.395           125.564             0.000             0.000             0.000             0.317             0.153             0.164
           1.305             1.305             0.000             0.000           191.770             0.811            65.395           125.564             0.000             0.000             0.000             0.254             0.102             0.152
           1.253             0.811             0.442             0.000           190.516             0.000            64.952           125.564             0.000             0.000             0.000             0.208             0.068             0.141
           1.069             0.000             1.069             0.000           189.447             0.000            63.883           125.564             0.000             0.000             0.000             0.175             0.045             0.130
           1.327             0.000             1.327             0.000           188.120             0.000            62.556           125.564             0.000             0.000             0.000             0.150             0.030             0.121
           1.054             0.000             1.054             0.000           187.066             0.000            61.502           125.564             0.000             0.000             0.000             0.132             0.020             0.112
           0.112             0.112             0.000             0.000           188.693             1.627            61.502           125.564             1.561             0.389             1.173             0.289             0.100             0.189
           0.522             0.522             0.000             0.000           189.138             2.072            61.502           125.564             0.433             0.107             0.326             0.333             0.134             0.199
           1.305             1.305             0.000             0.000           188.932             1.866            61.502           125.564             0.000             0.000             0.000             0.284             0.099             0.185
           0.932             0.932             0.000             0.000           188.000             0.934            61.502           125.564             0.000             0.000             0.000             0.237             0.066             0.171
           0.821             0.821             0.000             0.000           188.701             1.635            61.502           125.564             0.678             0.168             0.510             0.278             0.082             0.196
           1.305             1.305             0.000             0.000           187.396             0.330            61.502           125.564             0.000             0.000             0.000             0.256             0.075             0.182
           1.828             0.330             1.498             0.000           185.568             0.000            60.003           125.564             0.000             0.000             0.000             0.218             0.050             0.168
           1.576             0.000             1.576             0.000           183.992             0.000            58.428           125.564             0.000             0.000             0.000             0.189             0.033             0.156
           1.443             0.000             1.443             0.000           182.549             0.000            56.985           125.564             0.000             0.000             0.000             0.165             0.020             0.145
           1.385             0.000             1.385             0.000           181.165             0.000            55.600           125.564             0.000             0.000             0.000             0.144             0.010             0.134
           0.715             0.200             0.515             0.000           180.650             0.000            55.085           125.564             0.000             0.000             0.000             0.130             0.006             0.124
           1.079             0.000             1.079             0.000           179.570             0.000            54.006           125.564             0.000             0.000             0.000             0.119             0.004             0.115
           1.355             0.000             1.355             0.000           178.215             0.000            52.651           125.564             0.000             0.000             0.000             0.109             0.002             0.107
           1.052             0.000             1.052             0.000           177.163             0.000            51.599           125.564             0.000             0.000             0.000             0.099             0.000             0.099
           1.231             1.231             0.000             0.000           177.635             0.472            51.599           125.564             0.398             0.106             0.292             0.137             0.024             0.113
           1.305             1.305             0.000             0.000           177.686             0.523            51.599           125.564             0.043             0.012             0.032             0.138             0.031             0.107
