       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.527             0.008             0.519             0.000           202.870             0.000            69.100           133.770             0.000             0.000             0.000             0.004             0.001             0.003
           0.710             0.000             0.710             0.000           202.160             0.000            68.390           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.629             0.000             0.629             0.000           201.531             0.000            67.761           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.550             0.000             0.550             0.000           200.982             0.000            67.212           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.618             0.000             0.618             0.000           200.364             0.000            66.594           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.828             0.000             0.828             0.000           199.535             0.000            65.765           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.640             0.000             0.640             0.000           198.895             0.000            65.125           133.770             0.000             0.000             0.000             0.003             0.000             0.003
           0.452             0.452             0.000             0.000           199.109             0.214            65.125           133.770             0.434             0.126             0.309             0.038             0.029             0.009
           0.489             0.489             0.000             0.000           199.145             0.250            65.125           133.770             0.074             0.021             0.053             0.050             0.040             0.010
           0.615             0.250             0.365             0.000           198.531             0.000            64.761           133.770             0.000             0.000             0.000             0.039             0.029             0.010
           0.560             0.000             0.560             0.000           197.970             0.000            64.200           133.770             0.000             0.000             0.000             0.028             0.019             0.009
           0.482             0.400             0.082             0.000           197.888             0.000            64.118           133.770             0.000             0.000             0.000             0.021             0.012             0.009
           0.832             0.000             0.832             0.000           197.056             0.000            63.286           133.770             0.000             0.000             0.000             0.017             0.008             0.009
           0.890             0.000             0.890             0.000           196.166             0.000            62.396           133.770             0.000             0.000             0.000             0.014             0.005             0.009
           0.742             0.000             0.742             0.000           195.423             0.000            61.654           133.770             0.000             0.000             0.000             0.012             0.003             0.009
           0.900             0.000             0.900             0.000           194.523             0.000            60.753           133.770             0.000             0.000             0.000             0.010             0.001             0.009
           0.723             0.000             0.723             0.000           193.800             0.000            60.031           133.770             0.000             0.000             0.000             0.009             0.000             0.008
           1.201             0.000             1.201             0.000           192.599             0.000            58.829           133.770             0.000             0.000             0.000             0.008             0.000             0.008
           0.764             0.000             0.764             0.000           191.836             0.000            58.066           133.770             0.000             0.000             0.000             0.008             0.000             0.008
