 Index   Temp   Variable_0   Variable_1   Variable_2   Variable_3   Variable_4   Variable_5   Variable_6   Variable_7   Variable_8   Variable_9 Objective   Seconds
          54.000            998.000              0.639              0.053              0.352             12.509             94.012            146.557              0.288             26.345              0.676              2.617          -1108.843              0.296   
          55.000            998.000              0.853              0.009              0.624             19.888             89.449            199.418              0.030             45.376              0.969              5.027             64.952              0.299   
          56.000            997.000              0.512              0.152              0.030             22.051             93.461            179.353              0.039             28.587              0.634              1.399           -213.097              0.302   
          57.000            997.000              0.589              0.264              0.116             21.826             76.810            121.163              0.207             28.697              0.797              3.556            350.696              0.305   
          58.000            997.000              0.924              0.333              0.156              6.824             99.811             93.937              0.086             44.955              0.148              5.539            331.678              0.308   
          59.000            997.000              0.276              0.136              0.290              6.844             52.765            167.145              0.195             35.197              0.934              3.422            454.295              0.311   
          60.000            997.000              0.538              0.233              0.702             24.381             55.654            185.014              0.214             11.479              0.948              2.677            201.438              0.314   
          61.000            997.000              0.370              0.187              0.972             27.460             65.969            106.911              0.240             41.905              0.405              3.256            490.464              0.319   
          62.000            997.000              0.773              0.449              0.674             14.174             66.246            197.548              0.284              3.329              0.223              2.723            -33.964              0.322   
          63.000            997.000              0.427              0.195              0.166             11.596             98.667            176.289              0.023             16.361              0.975              1.610            126.704              0.325   
          64.000            997.000              0.473              0.293              0.939              5.083             96.325            177.893              0.212             16.876              0.583              2.751            471.148              0.328   
          65.000            997.000              0.320              0.272              0.402             18.188             82.628             80.468              0.011             18.301              0.154              5.324            182.060              0.334   
          66.000            997.000              0.040              0.246              0.925             25.655             97.828            175.024              0.214             47.477              0.764              1.792          -2188.930              0.339   
          67.000            997.000              0.854              0.440              0.848             29.506             67.126            154.321              0.084             26.805              0.595              1.573           -648.505              0.342   
          68.000            997.000              0.689              0.368              0.006             28.903             76.208            111.783              0.145             10.608              0.051              3.160            516.983              0.344   
          69.000            997.000              0.271              0.329              0.116             27.500             82.859            112.680              0.294             12.818              0.458              4.438            572.302              0.346   
          70.000            997.000              0.399              0.102              0.404              9.215             67.218            153.064              0.234             22.565              0.231              4.263            298.219              0.349   
          71.000            996.000              0.923              0.410              0.988             28.227             81.153            194.371              0.151             20.470              0.866              4.101             25.575              0.353   
          72.000            996.000              0.296              0.043              0.394             13.680             62.292            156.756              0.173             31.890              0.729              1.883            328.535              0.355   
          73.000            996.000              0.581              0.214              0.402             11.821             92.391            100.800              0.146             46.710              0.453              1.272           -341.250              0.358   
          74.000            996.000              0.716              0.050              0.312             14.385             77.344            142.025              0.040              2.702              0.915              5.215            193.570              0.361   
          75.000            996.000              0.532              0.235              0.796             19.003             98.725            157.629              0.173              0.257              0.662              1.167           -279.427              0.363   
          76.000            996.000              0.595              0.302              0.540             26.883             68.341             78.997              0.213              3.610              0.728              1.830           -121.140              0.364   
          77.000            996.000              0.624              0.011              0.810             27.154             56.141            190.918              0.166             14.649              0.723              3.817           -691.528              0.369   
          78.000            996.000              0.681              0.257              0.242              9.146             53.853            104.518              0.092             27.411              0.146              2.391            329.676              0.372   
          79.000            996.000              0.586              0.280              0.925             25.329             81.271            192.830              0.172             34.089              0.399              3.692            217.270              0.380   
          80.000            996.000              0.388              0.129              0.419             10.377             60.614             67.978              0.087             36.980              0.766              5.762            597.833              0.385   
          81.000            996.000              0.322              0.356              0.724             18.387             59.995            126.581              0.211             15.799              0.420              2.925            248.942              0.388   
          82.000            996.000              0.504              0.346              0.331             14.123             92.943            188.532              0.103              0.585              0.218              3.103            507.086              0.390   
          83.000            996.000              0.833              0.488              0.588             11.629             75.319            131.074              0.277             28.470              0.986              4.811            179.977              0.393   
          84.000            996.000              0.621              0.292              0.516             14.312             85.701             79.186              0.142             34.414              0.378              2.766            188.296              0.397   
          85.000            996.000              0.196              0.475              0.805             11.972             51.568            125.528              0.276              1.036              0.609              5.940           -287.790              0.399   
          86.000            995.000              0.718              0.328              0.496             18.391             71.975             61.873              0.230             49.741              0.292              5.095          -1813.135              0.402   
          87.000            995.000              0.515              0.341              0.238              6.187             76.279            148.156              0.033              5.007              0.432              4.502            532.494              0.404   
          88.000            995.000              0.339              0.294              0.525              8.676             68.265            142.371              0.175              2.473              0.290              4.220            453.677              0.407   
          89.000            995.000              0.646              0.493              0.902              9.827             89.871             52.599              0.125              7.843              0.986              4.191            471.645              0.409   
          90.000            995.000              0.769              0.222              0.637             14.858             82.441            188.608              0.043              4.036              0.958              3.827            519.437              0.411   
          91.000            995.000              0.120              0.092              0.874             15.096             80.657            172.647              0.088             33.606              0.952              4.187           -376.721              0.416   
          92.000            995.000              0.917              0.493              0.833              6.522             54.030            110.115              0.165             38.925              0.457              4.181           -619.656              0.419   
          93.000            995.000              0.220              0.313              0.639              7.396             88.970             75.438              0.085             18.521              0.577              5.285           -267.442              0.422   
          94.000            995.000              0.761              0.011              0.339             16.533             76.537            198.756              0.006             23.878              0.657              4.822            414.377              0.424   
          95.000            995.000              0.746              0.190              0.310             14.568             72.064            123.355              0.074             11.595              0.357              5.514            208.509              0.427   
          96.000            995.000              0.379              0.270              0.185              6.017             88.799            122.018              0.222             18.553              0.701              1.654            203.996              0.429   
          97.000            995.000              0.758              0.483              0.188             13.041             75.442             56.898              0.292             21.835              0.592              2.451            413.541              0.433   
          98.000            995.000              0.690              0.312              0.012             13.907             81.624            171.796              0.024             33.776              0.321              5.044            490.820              0.436   
          99.000            995.000              0.971              0.171              0.630             23.645             81.025            158.673              0.036              1.116              0.081              3.701            244.679              0.438   
         100.000            995.000              0.123              0.277              0.989             28.996             67.935            147.043              0.133             31.260              0.981              1.374            444.416              0.440   
         101.000            994.000              0.281              0.081              0.887             25.358             71.871            156.742              0.170              2.598              0.949              2.928            513.046              0.442   
         102.000            994.000              0.586              0.303              0.958             18.524             85.076            121.482              0.238              1.639              0.703              2.178           -154.981              0.445   
         103.000            994.000              0.210              0.132              0.283             14.171             67.077             53.911              0.064              7.996              0.150              1.676          -1094.098              0.447   
         104.000            994.000              0.832              0.066              0.906             22.334             59.365            187.254              0.026             10.253              0.109              1.660           -270.833              0.452   
         105.000            994.000              0.452              0.478              0.843             23.212             78.021            143.304              0.001              9.595              0.563              5.339              4.700              0.454   
         106.000            994.000              0.848              0.436              0.243             22.556             91.580            186.283              0.099             16.303              0.657              3.182            473.724              0.456   
         107.000            994.000              0.692              0.334              0.142              7.603             79.907             60.029              0.273              5.043              0.548              4.225            263.167              0.460   
         108.000            994.000              0.679              0.187              0.790             26.405             96.378            172.956              0.021              2.466              0.960              5.528            579.091              0.462   
         109.000            994.000              0.627              0.178              0.039             18.270             54.080            100.187              0.171             37.350              0.351              3.020            142.980              0.465   
         110.000            994.000              0.639              0.178              0.518             12.909             95.367            146.414              0.115              6.929              0.644              5.766            289.778              0.468   
         111.000            994.000              0.743              0.180              0.205              9.404             85.423            190.615              0.057             35.725              0.630              3.877            397.687              0.470   
         112.000            994.000              0.525              0.120              0.003             27.141             79.262            113.329              0.054             32.166              0.196              3.708             19.419              0.473   
         113.000            994.000              0.987              0.297              0.438             17.997             53.295            163.202              0.020             38.071              0.728              2.552            434.513              0.475   
         114.000            994.000              0.422              0.100              0.121             16.720             81.799            151.537              0.242             32.588              0.255              3.690            269.730              0.483   
         115.000            994.000              0.864              0.231              0.125             22.084             50.256             92.987              0.048             23.399              0.577              3.901            232.142              0.486   
         116.000            993.000              0.836              0.372              0.174              9.055             63.866            173.430              0.045             20.763              0.362              5.441            536.422              0.489   
         117.000            993.000              0.465              0.203              0.503              9.318             72.602             60.745              0.252             13.649              0.003              5.037            157.243              0.492   
         118.000            993.000              0.242              0.399              0.272             29.328             75.700            129.556              0.120             10.106              0.289              5.466            215.336              0.496   
         119.000            993.000              0.692              0.278              0.378             21.037             58.020            182.483              0.218             46.871              0.326              2.579           -132.020              0.499   
         120.000            993.000              0.439              0.285              0.188              6.257             62.313            183.204              0.251             10.325              0.071              1.286           -135.222              0.503   
         121.000            993.000              0.857              0.419              0.814              5.464             88.679             96.346              0.130              8.376              0.935              4.310            251.290              0.505   
         122.000            993.000              0.211              0.100              0.785             16.192             73.389            177.754              0.141             25.373              0.972              5.598            421.565              0.508   
         123.000            993.000              0.855              0.069              0.070             12.314             73.554            141.747              0.059              9.464              0.561              3.512           -202.212              0.513   
         124.000            993.000              0.685              0.172              0.027              9.035             97.629            199.973              0.042             11.742              0.327              3.850            237.320              0.518   
         125.000            993.000              0.486              0.073              0.847             13.473             81.290            197.742              0.230             27.539              0.668              5.095            232.914              0.521   
         126.000            993.000              0.516              0.057              0.579             20.806             97.365            188.892              0.235             37.223              0.242              1.748           -332.349              0.523   
         127.000            993.000              0.564              0.265              0.718             21.181             68.300            132.085              0.251             30.351              0.537              5.848           -519.497              0.527   
         128.000            993.000              0.584              0.082              0.258             12.664             55.867            147.675              0.135              1.696              0.455              4.492             47.571              0.530   
         129.000            993.000              0.524              0.382              0.189             25.225             94.006            183.167              0.080             13.035              0.639              4.220            563.916              0.534   
         130.000            993.000              0.649              0.378              0.633             11.086             54.492            141.874              0.055             34.559              0.887              2.357            485.095              0.536   
         131.000            992.000              0.796              0.403              0.425             29.494             90.094            147.338              0.296             24.921              0.417              4.485           -483.984              0.538   
         132.000            992.000              0.257              0.400              0.250             29.179             93.367             55.418              0.147              6.954              0.774              5.006            443.041              0.544   
         133.000            992.000              0.959              0.484              0.264             10.436             85.530            147.814              0.236             10.863              0.521              2.641            351.047              0.551   
         134.000            992.000              0.531              0.068              0.197             22.558             69.569             61.795              0.037             41.155              0.367              1.848            246.802              0.554   
         135.000            992.000              0.607              0.254              0.142             21.014             50.339            134.833              0.105              5.191              0.696              4.461            402.769              0.558   
